"","Season","Team","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%","K%","ISO","BABIP","AVG.x","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","G.y","AB","PA.y","H","1B","2B","3B","HR.y","R.y","RBI.y","BB","IBB","SO","HBP","SF","SH","GDP","SB.y","CS","AVG.y","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","date_acquired","player_id","G","PA","HR","R","RBI","SB","BB/K","OPS","Spd","UBR","wGDP","wSB","wRC","wRAA","Pace","W.x","L.x","SV.x","GS.x","IP.x","K/9","BB/9","HR/9","LOB%","GB%","HR/FB","ERA.x","FIP","xFIP","W.y","L.y","ERA.y","GS.y","CG","ShO","SV.y","HLD","BS","IP.y","TBF","ER","WP","BK"
"1563","2019","Average",NA,NA,NA,NA,NA,NA,"8.5%","23.0%",0.183,0.298,NA,0.323,0.435,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252,"28.7%","65.7%","47.0%","57.3%","84.6%","76.2%","49.5%",NA,NA,2021-06-08,9241,NA,NA,NA,NA,NA,NA,0.37,0.758,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1564","2020","Average",NA,NA,NA,NA,NA,NA,"9.2%","23.4%",0.173,0.292,NA,0.322,0.418,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,"27.1%","65.2%","46.0%","55.1%","83.8%","75.2%","49.5%",NA,NA,2021-06-08,9241,NA,NA,NA,NA,NA,NA,0.39,0.74,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1565","2021","Average",NA,NA,NA,NA,NA,NA,"8.9%","24.1%",0.159,0.289,NA,0.312,0.396,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237,"26.6%","65.8%","46.6%","54.6%","83.2%","75.2%","51.1%",NA,NA,2021-06-08,9241,NA,NA,NA,NA,NA,NA,0.37,0.708,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1566","2014","Reds (R)",62,254,6,44,42,7,"13.8%","17.7%",0.192,0.292,0.257,0.354,0.449,0.357,105,NA,NA,NA,NA,62,214,254,55,29,17,3,6,44,42,35,0,45,0,5,0,1,7,0,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1567","2015","Reds (A)",71,305,6,44,36,21,"15.1%","18.0%",0.179,0.32,0.271,0.385,0.45,0.385,143,NA,NA,NA,NA,71,251,305,68,41,15,6,6,44,36,46,2,55,3,4,1,3,21,5,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1568","2015","Reds (A+)",45,161,5,15,18,4,"11.2%","25.5%",0.13,0.258,0.21,0.313,0.341,0.319,105,NA,NA,NA,NA,45,138,161,29,21,3,0,5,15,18,18,0,41,3,1,1,0,4,1,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1569","2016","Reds (A+)",107,424,9,45,40,16,"15.8%","22.6%",0.159,0.295,0.235,0.363,0.394,0.359,126,NA,NA,NA,NA,107,345,424,81,50,16,6,9,45,40,67,1,96,5,4,2,2,16,4,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1570","2017","Reds (A+)",16,61,1,4,6,1,"11.5%","21.3%",0.132,0.308,0.245,0.333,0.377,0.327,106,NA,NA,NA,NA,16,53,61,13,9,2,1,1,4,6,7,1,13,0,0,1,0,1,1,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1571","2017","Reds (AA)",66,210,7,23,21,7,"16.2%","28.1%",0.172,0.198,0.166,0.308,0.337,0.301,87,NA,NA,NA,NA,66,169,210,28,15,4,2,7,23,21,34,3,59,2,3,2,1,7,0,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1572","2018","Reds (AA)",63,214,6,27,30,4,"12.6%","19.2%",0.213,0.294,0.258,0.354,0.472,0.366,130,NA,NA,NA,NA,63,178,214,46,24,12,4,6,27,30,27,1,41,2,5,1,2,4,1,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1573","2018","Reds (AAA)",42,162,8,27,29,5,"7.4%","24.1%",0.257,0.367,0.306,0.365,0.563,0.401,157,NA,NA,NA,NA,42,144,162,44,25,9,2,8,27,29,12,2,39,2,1,2,1,5,4,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1574","2019","Reds (AAA)",112,489,28,71,77,20,"10.4%","27.8%",0.27,0.342,0.28,0.359,0.55,0.381,126,NA,NA,NA,NA,112,429,489,120,61,30,1,28,71,77,51,2,136,4,4,0,1,20,4,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1575","2019","Reds",28,48,2,4,3,0,"8.3%","35.4%",0.238,0.261,0.19,0.292,0.429,0.305,83,0.3,-0.8,0.6,0.1,28,42,48,8,3,2,1,2,4,3,4,0,17,2,0,0,0,0,0,0.19,"35.6%","74.7%","51.7%","50.0%","61.3%","56.7%","41.3%","64.6%","22.4%",2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1576","2020","Rays",2,5,0,2,0,1,"0.0%","20.0%",0.2,0.5,0.4,0.4,0.6,0.424,177,0.2,0.7,0,0.1,2,5,5,2,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0.4,"37.5%","84.6%","58.6%","66.7%","90.9%","82.4%","44.8%","40.0%","10.3%",2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1577","2021","THE BAT X",5,22,1,2,2,0,"8.9%","32.5%",0.161,0.267,0.197,0.276,0.358,0.276,72,NA,NA,NA,NA,5,19,22,4,2,1,0,1,2,2,2,0,7,0,0,0,0,0,0,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1578","2021","THE BAT",5,22,1,2,2,0,"8.9%","32.5%",0.165,0.264,0.196,0.275,0.361,0.276,73,NA,NA,NA,NA,5,19,22,4,2,1,0,1,2,2,2,0,7,0,0,0,0,0,0,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1579","2021","ATC",9,34,2,4,4,2,"8.8%","31.0%",0.212,0.273,0.217,0.291,0.429,0.308,92,NA,NA,NA,NA,9,30,34,7,3,2,0,2,4,4,3,0,10,0,0,0,0,2,0,0.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1580","2021","Depth Charts",5,21,1,2,3,1,"8.7%","31.3%",0.182,0.282,0.215,0.289,0.397,0.29,79,0,-0.6,-0.2,0,5,19,21,4,2,1,0,1,2,3,2,0,7,0,0,0,NA,1,0,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1581","2021","Steamer",5,20,1,2,2,0,"8.5%","30.1%",0.169,0.294,0.224,0.296,0.393,0.293,81,0,-0.5,-0.1,0,5,17,20,4,2,1,0,1,2,2,2,0,6,0,0,0,NA,0,0,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1582","2021","ZiPS",113,409,16,47,55,13,"8.8%","32.5%",0.195,0.269,0.205,0.282,0.4,0.287,77,1.1,-11.4,-7.3,-0.5,113,365,409,75,39,17,3,16,47,55,36,2,133,4,3,1,2,13,3,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1583","2021","Padres (AAA)",14,62,5,11,11,0,"6.5%","24.2%",0.397,0.368,0.328,0.371,0.724,0.431,152,NA,NA,NA,NA,14,58,62,19,8,4,2,5,11,11,4,2,15,0,0,0,0,0,1,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1584","2021","Padres",16,38,1,6,5,0,"15.8%","28.9%",0.2,0.211,0.167,0.297,0.367,0.293,88,0.2,-0.4,-0.9,0,16,30,38,5,1,3,0,1,6,5,6,0,11,0,1,1,1,0,0,0.167,"26.3%","67.6%","43.6%","48.0%","84.8%","71.8%","41.7%","60.5%","12.3%",2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1585","2021","ZiPS (R)",60,211,8,25,28,6,"9.3%","32.3%",0.195,0.267,0.203,0.283,0.398,0.295,89,0.6,-2.2,-1.3,0.3,60,187,211,38,19,9,1,8,25,28,19,1,68,2,2,1,NA,6,1,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1586","2021","Steamer (R)",4,16,1,2,2,0,"9.2%","30.7%",0.164,0.283,0.213,0.293,0.377,0.294,88,0,-0.2,-0.1,0,4,14,16,3,2,1,0,1,2,2,1,0,5,0,0,0,NA,0,0,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1587","2021","Depth Charts (R)",4,17,1,2,2,0,"9.2%","31.5%",0.179,0.275,0.208,0.288,0.387,0.295,89,0,-0.2,-0.2,0,4,15,17,3,2,1,0,1,2,2,2,0,5,0,0,0,NA,0,0,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1588","2021","THE BAT (R)",1,4,0,0,0,0,"8.9%","31.6%",0.177,0.266,0.203,0.28,0.379,0.286,83,NA,NA,NA,NA,1,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1589","2021","THE BAT X (RoS)",1,4,0,0,0,0,"9.0%","31.6%",0.171,0.269,0.203,0.281,0.374,0.284,82,NA,NA,NA,NA,1,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1590","Total","- - -",46,91,3,12,8,1,"11.0%","31.9%",0.221,0.261,0.195,0.3,0.416,0.307,90,0.7,-0.5,-0.4,0.2,46,77,91,15,5,6,1,3,12,8,10,0,29,2,1,1,1,1,0,0.195,"31.9%","72.6%","48.9%","50.7%","73.1%","64.6%","41.7%","61.5%","17.3%",2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591","2019","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.6%","68.5%","47.0%","62.7%","84.9%","76.2%","41.8%","60.9%","11.1%",2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1592","2020","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.6%","67.8%","45.9%","61.4%","84.2%","75.3%","41.2%","59.9%","11.3%",2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1593","2021","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.9%","68.1%","46.6%","61.8%","83.7%","75.3%","42.3%","60.1%","11.5%",2021-06-08,16729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1594","2008","Royals (R)",NA,NA,NA,NA,NA,NA,"20.0%","13.3%",0.182,0.444,0.364,0.533,0.545,0.491,188,NA,NA,NA,NA,NA,11,NA,4,2,2,0,NA,NA,NA,3,0,2,1,0,0,0,NA,0,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,3516,3,15,0,2,2,0,1.5,1.079,1.3,NA,NA,0,4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1595","2009","Royals (A)",NA,NA,NA,NA,NA,NA,"13.5%","20.8%",0.129,0.314,0.254,0.352,0.382,0.341,109,NA,NA,NA,NA,NA,280,NA,71,47,17,2,NA,NA,NA,44,3,68,0,3,0,10,NA,2,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,3516,79,327,5,31,49,3,0.65,0.734,3.6,NA,NA,-0.3,43,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1596","2009","Royals (A+)",NA,NA,NA,NA,NA,NA,"8.4%","20.6%",0.093,0.257,0.206,0.28,0.299,0.273,65,NA,NA,NA,NA,NA,97,NA,20,15,2,2,NA,NA,NA,9,0,22,1,0,0,1,NA,0,0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,3516,27,107,1,9,10,0,0.41,0.579,3.8,NA,NA,0,8,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1597","2010","Royals (A+)",NA,NA,NA,NA,NA,NA,"11.7%","10.4%",0.191,0.382,0.354,0.429,0.545,0.43,167,NA,NA,NA,NA,NA,325,NA,115,73,29,6,NA,NA,NA,44,6,39,2,4,0,12,NA,1,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,3516,87,375,7,48,51,11,1.13,0.974,6.4,NA,NA,2,75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1598","2010","Royals (AA)",NA,NA,NA,NA,NA,NA,"7.1%","12.8%",0.303,0.31,0.313,0.365,0.615,0.43,165,NA,NA,NA,NA,NA,195,NA,61,31,14,3,NA,NA,NA,15,2,27,1,0,0,11,NA,1,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,3516,50,211,13,39,35,3,0.56,0.98,6.4,NA,NA,0.2,41,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1599","2011","Royals (AAA)",NA,NA,NA,NA,NA,NA,"16.1%","13.6%",0.143,0.5,0.439,0.525,0.582,0.493,187,NA,NA,NA,NA,NA,98,NA,43,35,5,0,NA,NA,NA,19,0,16,0,1,0,1,NA,0,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,3516,26,118,3,21,15,3,1.19,1.107,4.2,NA,NA,0.6,31,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1600","2011","Royals",NA,NA,NA,NA,NA,NA,"6.0%","14.6%",0.172,0.314,0.293,0.334,0.465,0.343,113,NA,NA,NA,NA,NA,523,NA,153,104,27,3,NA,NA,NA,34,7,82,1,5,0,13,NA,5,0.293,"32.9%","66.4%","49.2%","71.4%","86.6%","81.4%","48.7%",NA,NA,2021-06-08,3516,128,563,19,66,78,11,0.41,0.799,4.4,2.9,0.3,-0.2,75,12.1,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1601","2012","Royals",NA,NA,NA,NA,NA,NA,"9.4%","15.9%",0.127,0.255,0.232,0.304,0.359,0.291,80,NA,NA,NA,NA,NA,535,NA,124,86,22,2,NA,NA,NA,56,4,95,2,5,0,10,NA,1,0.232,"28.8%","65.9%","47.1%","71.7%","85.2%","81.0%","49.1%",NA,NA,2021-06-08,3516,152,598,14,65,60,16,0.59,0.663,5.2,0.4,0,2.2,57,-11.4,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1602","2013","Royals",NA,NA,NA,NA,NA,NA,"7.5%","14.7%",0.146,0.335,0.302,0.353,0.448,0.35,120,NA,NA,NA,NA,NA,623,NA,188,134,34,3,NA,NA,NA,51,4,100,1,4,1,15,NA,4,0.302,"28.1%","65.6%","47.3%","63.9%","88.6%","81.5%","51.3%",NA,NA,2021-06-08,3516,159,680,17,86,79,11,0.51,0.801,4.5,0.2,0.5,0,94,19,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1603","2014","Royals (AAA)",NA,NA,NA,NA,NA,NA,"9.1%","27.3%",0.3,0.333,0.3,0.364,0.6,0.411,145,NA,NA,NA,NA,NA,10,NA,3,2,0,0,NA,NA,NA,1,0,3,0,0,0,0,NA,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,3516,2,11,1,2,3,0,0.33,0.964,1.6,NA,NA,0,2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1604","2014","Royals",NA,NA,NA,NA,NA,NA,"6.4%","17.0%",0.127,0.312,0.27,0.318,0.398,0.314,98,NA,NA,NA,NA,NA,503,NA,136,91,35,1,NA,NA,NA,35,4,93,3,6,0,12,NA,2,0.27,"33.9%","64.7%","48.5%","70.0%","90.6%","83.0%","47.4%",NA,NA,2021-06-08,3516,131,547,9,54,58,4,0.38,0.716,3.1,-6,0.2,-0.4,60,1.6,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1605","2015","Royals",NA,NA,NA,NA,NA,NA,"9.1%","16.2%",0.162,0.336,0.297,0.363,0.459,0.355,124,NA,NA,NA,NA,NA,599,NA,178,122,33,5,NA,NA,NA,61,6,108,3,3,1,16,NA,3,0.297,"30.7%","62.9%","45.7%","62.4%","90.9%","80.6%","46.4%",NA,NA,2021-06-08,3516,158,667,18,98,93,7,0.56,0.822,4.9,3.4,-0.2,-0.1,97,22,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1606","2016","Royals",NA,NA,NA,NA,NA,NA,"8.5%","19.8%",0.167,0.301,0.266,0.328,0.433,0.326,102,NA,NA,NA,NA,NA,605,NA,161,111,24,1,NA,NA,NA,57,5,132,1,4,0,18,NA,3,0.266,"31.0%","68.1%","48.8%","53.9%","85.8%","75.2%","48.0%",NA,NA,2021-06-08,3516,158,667,25,80,104,5,0.43,0.761,2.8,-2.6,-2.3,-0.6,83,4.4,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1607","2017","Royals",NA,NA,NA,NA,NA,NA,"9.8%","15.5%",0.179,0.351,0.318,0.385,0.498,0.376,135,NA,NA,NA,NA,NA,603,NA,192,135,31,1,NA,NA,NA,66,3,104,0,2,0,20,NA,1,0.318,"25.9%","68.0%","47.0%","56.6%","89.0%","80.1%","50.1%",NA,NA,2021-06-08,3516,162,671,25,98,94,6,0.63,0.882,3.4,2.2,-0.6,0.3,113,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
