"","Season","Team","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%","K%","ISO","BABIP","AVG.x","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","G.y","AB","PA.y","H","1B","2B","3B","HR.y","R.y","RBI.y","BB","IBB","SO","HBP","SF","SH","GDP","SB.y","CS","AVG.y","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","date_acquired","player_id","G","PA","HR","R","RBI","SB","BB/K","OPS","Spd","UBR","wGDP","wSB","wRC","wRAA","Pace","W.x","L.x","SV.x","GS.x","IP.x","K/9","BB/9","HR/9","LOB%","GB%","HR/FB","ERA.x","FIP","xFIP","W.y","L.y","ERA.y","GS.y","CG","ShO","SV.y","HLD","BS","IP.y","TBF","ER","WP","BK"
"31","2014","Giants (A-)",58,267,5,39,48,6,"6.7%","11.6%",0.136,0.36,0.333,0.378,0.469,0.389,135,NA,NA,NA,NA,58,243,267,81,60,14,2,5,39,48,18,1,31,2,4,0,3,6,1,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2014","Giants (A)",31,125,1,10,14,1,"3.2%","17.6%",0.068,0.237,0.203,0.226,0.271,0.228,35,NA,NA,NA,NA,31,118,125,24,19,3,1,1,10,14,4,0,22,0,2,1,2,1,2,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015","Giants (A+)",90,409,9,48,42,5,"4.6%","17.8%",0.155,0.355,0.304,0.344,0.459,0.352,117,NA,NA,NA,NA,90,381,409,116,77,28,2,9,48,42,19,1,73,5,2,2,11,5,3,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016","Giants (AA)",119,517,3,57,49,1,"5.6%","13.9%",0.099,0.313,0.274,0.316,0.373,0.311,89,NA,NA,NA,NA,119,474,517,130,90,36,1,3,57,49,29,2,72,3,7,4,17,1,1,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017","Giants (AAA)",25,102,4,18,16,2,"5.9%","11.8%",0.209,0.427,0.396,0.461,0.604,0.461,179,NA,NA,NA,NA,25,91,102,36,25,7,0,4,18,16,6,1,12,5,0,0,1,2,0,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017","Giants",34,135,3,9,14,1,"5.9%","23.7%",0.112,0.231,0.192,0.244,0.304,0.237,44,-1.1,-10.9,1.1,-0.5,34,125,135,24,16,5,0,3,9,14,8,1,32,1,1,0,4,1,2,0.192,"31.3%","74.2%","52.3%","62.4%","91.2%","82.4%","48.9%","62.2%","9.1%",2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2018","Rays (A+)",2,7,0,0,0,0,"0.0%","28.6%",0,0,0,0,0,0,-100,NA,NA,NA,NA,2,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2018","Rays (AAA)",46,182,2,19,20,2,"4.4%","17.6%",0.106,0.279,0.235,0.286,0.341,0.282,75,NA,NA,NA,NA,46,170,182,40,26,12,0,2,19,20,8,1,32,4,0,0,6,2,3,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2018","Rays",20,59,1,5,6,0,"10.2%","27.1%",0.132,0.361,0.264,0.339,0.396,0.323,107,0,0.5,-0.3,0.2,20,53,59,14,10,2,1,1,5,6,6,0,16,0,0,0,0,0,0,0.264,"25.6%","67.7%","43.9%","63.6%","85.1%","78.0%","43.4%","49.2%","9.6%",2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019","Rays (AAA)",33,134,8,21,29,1,"9.0%","19.4%",0.289,0.345,0.314,0.381,0.603,0.412,147,NA,NA,NA,NA,33,121,134,38,20,9,1,8,21,29,12,0,26,1,0,0,5,1,0,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,16434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
